country,year,predicted_value,metric
Afghanistan,2026,17065.19000000006,forest_loss
Afghanistan,2027,17541.315384615446,forest_loss
Afghanistan,2028,18017.44076923083,forest_loss
Afghanistan,2029,18493.566153846215,forest_loss
Afghanistan,2030,18969.6915384616,forest_loss
Afghanistan,2031,19445.816923076985,forest_loss
Afghanistan,2032,19921.94230769237,forest_loss
Afghanistan,2033,20398.067692307755,forest_loss
Afghanistan,2034,20874.19307692314,forest_loss
Afghanistan,2035,21350.318461538525,forest_loss
Afghanistan,2036,21826.44384615391,forest_loss
Afghanistan,2037,22302.569230769295,forest_loss
Afghanistan,2038,22778.69461538468,forest_loss
Afghanistan,2039,23254.820000000065,forest_loss
Afghanistan,2040,23730.94538461545,forest_loss
Afghanistan,2041,24207.070769230835,forest_loss
Afghanistan,2042,24683.19615384622,forest_loss
Afghanistan,2043,25159.321538461605,forest_loss
Afghanistan,2044,25635.44692307699,forest_loss
Afghanistan,2045,26111.572307692375,forest_loss
Akrotiri and Dhekelia,2026,389.53999999999724,forest_loss
Akrotiri and Dhekelia,2027,405.7999999999993,forest_loss
Akrotiri and Dhekelia,2028,422.0600000000013,forest_loss
Akrotiri and Dhekelia,2029,438.31999999999607,forest_loss
Akrotiri and Dhekelia,2030,454.5799999999981,forest_loss
Akrotiri and Dhekelia,2031,470.84000000000015,forest_loss
Akrotiri and Dhekelia,2032,487.0999999999949,forest_loss
Akrotiri and Dhekelia,2033,503.35999999999694,forest_loss
Akrotiri and Dhekelia,2034,519.619999999999,forest_loss
Akrotiri and Dhekelia,2035,535.880000000001,forest_loss
Akrotiri and Dhekelia,2036,552.1399999999958,forest_loss
Akrotiri and Dhekelia,2037,568.3999999999978,forest_loss
Akrotiri and Dhekelia,2038,584.6599999999999,forest_loss
Akrotiri and Dhekelia,2039,600.9200000000019,forest_loss
Akrotiri and Dhekelia,2040,617.1799999999967,forest_loss
Akrotiri and Dhekelia,2041,633.4399999999987,forest_loss
Akrotiri and Dhekelia,2042,649.7000000000007,forest_loss
Akrotiri and Dhekelia,2043,665.9599999999955,forest_loss
Akrotiri and Dhekelia,2044,682.2199999999975,forest_loss
Akrotiri and Dhekelia,2045,698.4799999999996,forest_loss
Albania,2026,420279.6700000018,forest_loss
Albania,2027,435898.30000000075,forest_loss
Albania,2028,451516.9299999997,forest_loss
Albania,2029,467135.5600000024,forest_loss
Albania,2030,482754.19000000134,forest_loss
Albania,2031,498372.8200000003,forest_loss
Albania,2032,513991.450000003,forest_loss
Albania,2033,529610.0800000019,forest_loss
Albania,2034,545228.7100000009,forest_loss
Albania,2035,560847.3399999999,forest_loss
Albania,2036,576465.9700000025,forest_loss
Albania,2037,592084.6000000015,forest_loss
Albania,2038,607703.2300000004,forest_loss
Albania,2039,623321.8599999994,forest_loss
Albania,2040,638940.4900000021,forest_loss
Albania,2041,654559.120000001,forest_loss
Albania,2042,670177.75,forest_loss
Albania,2043,685796.3800000027,forest_loss
Albania,2044,701415.0100000016,forest_loss
Albania,2045,717033.6400000006,forest_loss
Algeria,2026,1827683.7999999821,forest_loss
Algeria,2027,1909739.1876922846,forest_loss
Algeria,2028,1991794.5753846169,forest_loss
Algeria,2029,2073849.9630769193,forest_loss
Algeria,2030,2155905.350769222,forest_loss
Algeria,2031,2237960.7384615242,forest_loss
Algeria,2032,2320016.1261538267,forest_loss
Algeria,2033,2402071.513846129,forest_loss
Algeria,2034,2484126.9015384614,forest_loss
Algeria,2035,2566182.289230764,forest_loss
Algeria,2036,2648237.6769230664,forest_loss
Algeria,2037,2730293.064615369,forest_loss
Algeria,2038,2812348.4523076713,forest_loss
Algeria,2039,2894403.839999974,forest_loss
Algeria,2040,2976459.227692306,forest_loss
Algeria,2041,3058514.6153846085,forest_loss
Algeria,2042,3140570.003076911,forest_loss
Algeria,2043,3222625.3907692134,forest_loss
Algeria,2044,3304680.778461516,forest_loss
Algeria,2045,3386736.1661538184,forest_loss
Andorra,2026,1079.4200000000128,forest_loss
Andorra,2027,1123.944615384622,forest_loss
Andorra,2028,1168.4692307692458,forest_loss
Andorra,2029,1212.993846153855,forest_loss
Andorra,2030,1257.5184615384642,forest_loss
Andorra,2031,1302.043076923088,forest_loss
Andorra,2032,1346.5676923076971,forest_loss
Andorra,2033,1391.092307692321,forest_loss
Andorra,2034,1435.61692307693,forest_loss
Andorra,2035,1480.1415384615393,forest_loss
Andorra,2036,1524.666153846163,forest_loss
Andorra,2037,1569.1907692307723,forest_loss
Andorra,2038,1613.715384615396,forest_loss
Andorra,2039,1658.2400000000052,forest_loss
Andorra,2040,1702.764615384629,forest_loss
Andorra,2041,1747.2892307692382,forest_loss
Andorra,2042,1791.8138461538474,forest_loss
Andorra,2043,1836.3384615384712,forest_loss
Andorra,2044,1880.8630769230804,forest_loss
Andorra,2045,1925.3876923077041,forest_loss
Angola,2026,34498331.82999992,forest_loss
Angola,2027,36006877.08769226,forest_loss
Angola,2028,37515422.3453846,forest_loss
Angola,2029,39023967.603076935,forest_loss
Angola,2030,40532512.86076927,forest_loss
Angola,2031,42041058.11846161,forest_loss
Angola,2032,43549603.376153946,forest_loss
Angola,2033,45058148.63384628,forest_loss
Angola,2034,46566693.89153862,forest_loss
Angola,2035,48075239.14923096,forest_loss
Angola,2036,49583784.406923294,forest_loss
Angola,2037,51092329.66461563,forest_loss
Angola,2038,52600874.92230797,forest_loss
Angola,2039,54109420.180000305,forest_loss
Angola,2040,55617965.437692165,forest_loss
Angola,2041,57126510.6953845,forest_loss
Angola,2042,58635055.95307684,forest_loss
Angola,2043,60143601.21076918,forest_loss
Angola,2044,61652146.46846151,forest_loss
Angola,2045,63160691.72615385,forest_loss
Anguilla,2026,452.84000000000015,forest_loss
Anguilla,2027,466.7076923076929,forest_loss
Anguilla,2028,480.5753846153857,forest_loss
Anguilla,2029,494.44307692307484,forest_loss
Anguilla,2030,508.3107692307676,forest_loss
Anguilla,2031,522.1784615384604,forest_loss
Anguilla,2032,536.0461538461532,forest_loss
Anguilla,2033,549.913846153846,forest_loss
Anguilla,2034,563.7815384615387,forest_loss
Anguilla,2035,577.6492307692315,forest_loss
Anguilla,2036,591.5169230769243,forest_loss
Anguilla,2037,605.3846153846134,forest_loss
Anguilla,2038,619.2523076923062,forest_loss
Anguilla,2039,633.119999999999,forest_loss
Anguilla,2040,646.9876923076918,forest_loss
Anguilla,2041,660.8553846153845,forest_loss
Anguilla,2042,674.7230769230773,forest_loss
Anguilla,2043,688.5907692307701,forest_loss
Anguilla,2044,702.4584615384629,forest_loss
Anguilla,2045,716.326153846152,forest_loss
Antigua and Barbuda,2026,7764.329999999958,forest_loss
Antigua and Barbuda,2027,8076.223076923052,forest_loss
Antigua and Barbuda,2028,8388.116153846146,forest_loss
Antigua and Barbuda,2029,8700.00923076924,forest_loss
Antigua and Barbuda,2030,9011.902307692333,forest_loss
Antigua and Barbuda,2031,9323.79538461531,forest_loss
Antigua and Barbuda,2032,9635.688461538404,forest_loss
Antigua and Barbuda,2033,9947.581538461498,forest_loss
Antigua and Barbuda,2034,10259.474615384592,forest_loss
Antigua and Barbuda,2035,10571.367692307686,forest_loss
Antigua and Barbuda,2036,10883.26076923078,forest_loss
Antigua and Barbuda,2037,11195.153846153873,forest_loss
Antigua and Barbuda,2038,11507.04692307685,forest_loss
Antigua and Barbuda,2039,11818.939999999944,forest_loss
Antigua and Barbuda,2040,12130.833076923038,forest_loss
Antigua and Barbuda,2041,12442.726153846132,forest_loss
Antigua and Barbuda,2042,12754.619230769225,forest_loss
Antigua and Barbuda,2043,13066.51230769232,forest_loss
Antigua and Barbuda,2044,13378.405384615413,forest_loss
Antigua and Barbuda,2045,13690.29846153839,forest_loss
Argentina,2026,57279708.68999958,forest_loss
Argentina,2027,59457309.450769424,forest_loss
Argentina,2028,61634910.211538315,forest_loss
Argentina,2029,63812510.972307205,forest_loss
Argentina,2030,65990111.73307705,forest_loss
Argentina,2031,68167712.49384594,forest_loss
Argentina,2032,70345313.25461483,forest_loss
Argentina,2033,72522914.01538467,forest_loss
Argentina,2034,74700514.77615356,forest_loss
Argentina,2035,76878115.53692245,forest_loss
Argentina,2036,79055716.2976923,forest_loss
Argentina,2037,81233317.05846119,forest_loss
Argentina,2038,83410917.81923008,forest_loss
Argentina,2039,85588518.57999992,forest_loss
Argentina,2040,87766119.34076881,forest_loss
Argentina,2041,89943720.10153866,forest_loss
Argentina,2042,92121320.86230755,forest_loss
Argentina,2043,94298921.62307644,forest_loss
Argentina,2044,96476522.38384628,forest_loss
Argentina,2045,98654123.14461517,forest_loss
Armenia,2026,20911.689999999944,forest_loss
Armenia,2027,21553.047692307737,forest_loss
Armenia,2028,22194.40538461553,forest_loss
Armenia,2029,22835.76307692309,forest_loss
Armenia,2030,23477.12076923088,forest_loss
Armenia,2031,24118.47846153844,forest_loss
Armenia,2032,24759.836153846234,forest_loss
Armenia,2033,25401.193846153794,forest_loss
Armenia,2034,26042.551538461586,forest_loss
Armenia,2035,26683.90923076938,forest_loss
Armenia,2036,27325.26692307694,forest_loss
Armenia,2037,27966.62461538473,forest_loss
Armenia,2038,28607.98230769229,forest_loss
Armenia,2039,29249.340000000084,forest_loss
Armenia,2040,29890.697692307644,forest_loss
Armenia,2041,30532.055384615436,forest_loss
Armenia,2042,31173.41307692323,forest_loss
Armenia,2043,31814.77076923079,forest_loss
Armenia,2044,32456.12846153858,forest_loss
Armenia,2045,33097.48615384614,forest_loss
Aruba,2026,28.579999999999927,forest_loss
Aruba,2027,29.32615384615383,forest_loss
Aruba,2028,30.07230769230773,forest_loss
Aruba,2029,30.818461538461634,forest_loss
Aruba,2030,31.56461538461531,forest_loss
Aruba,2031,32.31076923076921,forest_loss
Aruba,2032,33.05692307692311,forest_loss
Aruba,2033,33.803076923077015,forest_loss
Aruba,2034,34.54923076923069,forest_loss
Aruba,2035,35.29538461538459,forest_loss
Aruba,2036,36.041538461538494,forest_loss
Aruba,2037,36.787692307692396,forest_loss
Aruba,2038,37.53384615384607,forest_loss
Aruba,2039,38.27999999999997,forest_loss
Aruba,2040,39.026153846153875,forest_loss
Aruba,2041,39.77230769230778,forest_loss
Aruba,2042,40.51846153846145,forest_loss
Aruba,2043,41.264615384615354,forest_loss
Aruba,2044,42.010769230769256,forest_loss
Aruba,2045,42.75692307692316,forest_loss
Australia,2026,77902220.4800005,forest_loss
Australia,2027,81191909.76615429,forest_loss
Australia,2028,84481599.05230808,forest_loss
Australia,2029,87771288.33846188,forest_loss
Australia,2030,91060977.62461567,forest_loss
Australia,2031,94350666.91076946,forest_loss
Australia,2032,97640356.19692326,forest_loss
Australia,2033,100930045.48307705,forest_loss
Australia,2034,104219734.76923084,forest_loss
Australia,2035,107509424.05538464,forest_loss
